Date,Firm,To Grade,From Grade,Action
2017-10-27,Stifel Nicolaus,Buy,,main
2017-10-27,Raymond James,Outperform,Market Perform,up
2017-10-27,Barclays,Overweight,,main
2017-10-27,Citigroup,Buy,,main
2017-10-27,UBS,Buy,,main
2017-10-27,Oppenheimer,Outperform,,main
2017-10-30,Citigroup,Buy,,main
2017-11-20,Nomura,Buy,,main
2017-12-04,Moffett Nathanson,Buy,,init
2017-12-06,Evercore ISI Group,Outperform,,init
2018-01-05,Citigroup,Buy,Buy,main
2018-01-23,Loop Capital,Buy,Buy,main
2018-01-26,Morgan Stanley,Overweight,Overweight,main
2018-02-02,Bank of America,Buy,Buy,main
2018-02-02,Morgan Stanley,Overweight,Overweight,main
2018-02-02,PiperJaffray,Overweight,Overweight,main
2018-02-02,Credit Suisse,Outperform,Outperform,main
2018-02-02,JMP Securities,Market Outperform,Market Outperform,main
2018-02-02,Barclays,Overweight,Overweight,main
2018-02-05,Nomura,Buy,Buy,main
2018-02-21,MKM Partners,Buy,Buy,main
2018-04-19,Morgan Stanley,Overweight,Overweight,main
2018-04-20,Credit Suisse,Outperform,Outperform,main
2018-04-27,Barclays,Overweight,Overweight,main
2018-04-27,Stifel Nicolaus,Buy,Buy,main
2018-04-27,Credit Suisse,Outperform,Outperform,main
2018-04-27,JMP Securities,Market Outperform,Market Outperform,main
2018-04-27,Canaccord Genuity,Buy,Buy,main
2018-04-27,Wedbush,Outperform,Outperform,main
2018-05-07,Telsey Advisory Group,Outperform,,init
2018-06-04,SunTrust Robinson Humphrey,Buy,Buy,reit
2018-06-14,DA Davidson,Buy,Buy,main
2018-07-13,Barclays,Overweight,Overweight,main
2018-07-13,Cowen & Co.,Outperform,Outperform,main
2018-07-16,Credit Suisse,Outperform,Outperform,main
2018-07-27,Wedbush,Outperform,Outperform,main
2018-07-27,Morgan Stanley,Overweight,Overweight,main
2018-07-27,PiperJaffray,Overweight,Overweight,main
2018-07-27,Jefferies,Buy,Buy,main
2018-07-27,JP Morgan,Overweight,Overweight,main
2018-07-27,Canaccord Genuity,Buy,Buy,main
2018-07-27,JMP Securities,Market Outperform,Market Outperform,main
2018-07-27,Credit Suisse,Outperform,Outperform,main
2018-07-27,BMO Capital,Outperform,Outperform,main
2018-08-29,Morgan Stanley,Overweight,Overweight,main
2018-09-05,DA Davidson,Buy,Buy,main
2018-09-10,Citigroup,Buy,Buy,main
2018-09-10,Wells Fargo,Outperform,Outperform,main
2018-09-25,Jefferies,Buy,Buy,main
2018-10-23,Jefferies,Buy,Buy,main
2018-10-26,Jefferies,Buy,Buy,main
2018-10-26,Bank of America,Buy,Buy,main
2018-10-26,Barclays,Overweight,Overweight,main
2019-01-23,Deutsche Bank,Buy,Buy,main
2019-02-01,Raymond James,Outperform,Outperform,main
2019-02-01,Deutsche Bank,Buy,Buy,main
2019-02-01,Pivotal Research,Buy,,init
2019-03-15,KeyBanc,Overweight,Sector Weight,up
2019-03-20,Evercore ISI Group,Outperform,,init
2019-04-08,Societe Generale,Buy,,init
2019-07-15,Morgan Stanley,Overweight,,main
2019-07-22,KeyBanc,Overweight,,main
2019-07-24,Credit Suisse,Outperform,,main
2019-07-26,Raymond James,Outperform,,main
2019-07-26,Credit Suisse,Outperform,,main
2019-07-26,Barclays,Overweight,,main
2019-07-26,Mizuho,Buy,,main
2019-07-26,Baird,Outperform,,main
2019-09-03,RBC Capital,Outperform,,main
2019-09-23,Morgan Stanley,Overweight,,main
2019-10-21,Bank of America,Buy,,main
2019-10-25,SunTrust Robinson Humphrey,Buy,,main
2019-10-25,Morgan Stanley,Overweight,,main
2019-10-25,JMP Securities,Market Outperform,,main
2019-10-25,BMO Capital,Outperform,,main
2019-10-25,Raymond James,Outperform,,main
2019-10-25,Credit Suisse,Outperform,,main
2019-10-25,Wedbush,Outperform,,main
2019-10-25,Barclays,Overweight,,main
2019-10-25,Oppenheimer,Outperform,,main
2019-10-25,Piper Jaffray,Overweight,,main
2019-10-25,MKM Partners,Buy,,main
2019-11-26,China Renaissance,Hold,,init
2020-01-10,Bernstein,Market Perform,,init
